 ,,,,,,,Dolar al dia,$18.50,,% Desc Compe.,96%,,IGI,0%,Imp y Flete,23%,Dll banca,$18.75,,,,,,,Descuento Ervey,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Barcode,Foto URL,Nombre Eng,Nombre Esp,Descripcion,UVA Nombre,Item Code,Uni Code,Categoria,Montaje,Tipo,$ Venta,Rotacion,Stock,Status,Notes,Pedido ,$ ZG,$ Oth,$ BM,$ Ptij dll,$ Ptij mxn,Veces G,,"PRECIO
OG",PRECIO ERVEY,VG CABOS,,,,"PRECIO ESP
TIJUANA"
2319,75045880563,,"REDUCER PIPE HD3"" TO HD2""x700MM WITH HANDLES","REDUCTOR HD3"" A HD2"" x700mm CON ASAS",,"REDUCTOR 3"" A 2"" A 700 MM PARA BOMBA DE HORMIGON",RS302028D,,Tuberia,TUBERIA ACERO,TUBOS,"$2,788.32",,1,In stock,,,$25.00,$157.00,$150.72,$30.63,$574.22,4.92,,,,,,,,
1038,75045880359,,"DRIVER CONTROL CABLE 716D 6mx1/4""x4""","CABLE DE CONTROL DE MANDO 716D 6mx1/4""x4""",,CABLE DE ACELERACIÓN 6M 6MM/6MM PARA CAMION REVOLVEDOR,760.6000.6.100,,Olla Revolvedora,Transmisión mecánica,CABLES,$888.00,,5,In stock,,,$8.00,$50.00,$48.00,$9.80,$183.75,4.90,,,,,,,,
2267,75045880446,,PLATE 55mm RIGHT CLAMP,SUJETADOR PARA COMPUERTA DE TOLVA LADO DERECHO,,SUJETADOR DE LA COMPUERTA DE LA TOLVA PARA BOMBA DE HORMIGON,10032788,,Schwing,TOLVA,ACCESORIOS ,$941.28,,4,In stock,,,$8.50,$53.00,$50.88,$10.41,$195.23,4.89,,,,,,,,
2268,75045880445,,PLATE 55mm LEFT CLAMP,SUJETADOR PARA COMPUERTA DE TOLVA LADO IZQUIERDO,,SUJETADOR DE LA COMPUERTA DE LA TOLVA PARA BOMBA DE HORMIGON,10032789,,Schwing,TOLVA,ACCESORIOS ,$941.28,,4,In stock,,,$8.50,$53.00,$50.88,$10.41,$195.23,4.89,,,,,,,,
2158,75045880393,,HIGH PRESSURE FILTER ELEMENT SHORT,FILTRO HIDRAULICO ALTA PRESION CORTO,,,10021810,,Schwing,SIN ASIGNAR,FILTROS,$710.40,B,5,In stock,,,$6.50,$40.00,$38.40,$7.96,$149.30,4.82,,,,,,,,
2309,75045880320,,"CLAMP 5"" MET. 4 BOLTS NO BASE DN125 SK148","ABRAZADERA 5"" MET. 4 TORNILLOS SIN BASE DN125 SK148",,"ABRAZADERA DE 5"" METRICA CUATRO TORNILLOS SIN BASE PARA BOMBA DE HORMIGON",550-10667,,Tuberia,TUBERIA ACERO,TUBOS,"$1,278.72",,10,In stock,,,$12.00,$72.00,$69.12,$14.70,$275.63,4.70,,,,,,,,
1256,75045880321,,MIXER SHAFT Q60,BARRA MEZCLADORA Q60,,EJE MEZCLADOR PARA BOMBA DE HORMIGON,275587002,,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,"$1,918.08",A,8,In stock,,,$18.00,$108.00,$103.68,$22.05,$413.44,4.70,,,,,,,,
1983,75045880346,,TEMPERATURE TRANSMITTER 90 DEGREE,SENSOR DE TEMPERATURA 90 GRADOS,,,283611009,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$1,598.40",,6,In stock,,,$15.00,$90.00,$86.40,$18.38,$344.53,4.70,,,,,,,,
2588,75045892588,,,O-RING 195x7,,,OR-195X7-NBR70,,Tuberia,TUBERIA ACERO,EMPAQUES,$106.56,,8,In stock,,,$1.00,$6.00,$5.76,$1.23,$22.97,4.70,,,,,,,,
2000,75045880473,,HYDRAULIC CHECK VALVE 80BAR,VALVULA DE CARTUCHO RETENCION HIDRAULICA 80BAR,,,265686007,,Putzmeister,HIDRAULICO,VALVULAS,"$2,504.16",,3,In stock,,,$24.00,$141.00,$135.36,$29.40,$551.25,4.60,,,,,,,,
1257,75045880325,,BEARING FLANGE D60/ BEARING FLANGE Q60,RODAMIENTO DE MEZCLADOR Q60,,RODAMIENTO DE MEZCLADOR PARA BOMBA DE HORMIGON,242573007,242572008,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$1,243.20",A,8,In stock,,,$12.00,$70.00,$67.20,$14.70,$275.63,4.57,,,,,,,,
2129,75045880333,,BRONZE DISC 60/95 x 5,DISCO BRONCE 60/95 x 5,,DISCO BRONCE PARA BOMBA DE HORMIGON,10061083,,Schwing,AGITADOR V-ROCK,Sin Asignar,$355.20,B,8,In stock,,,$3.50,$20.00,$19.20,$4.29,$80.39,4.48,,,,,,,,
1040,75045880358,,"DRIVER CONTROL CABLE 716D 8mx1/4""x4""","CABLE DE CONTROL DE MANDO 716D 8mx1/4""x4""",,CABLE DE ACELERACIÓN 8M 6MM/6MM PARA CAMION REVOLVEDOR,760.8000.6.100,,Olla Revolvedora,Transmisión mecánica,CABLES,"$1,012.32",,5,In stock,,,$10.00,$57.00,$54.72,$12.25,$229.69,4.47,,,,,,,,
2223,75045880535,,BASE PLATE,PORTA ANTIFAZ/ PLACA BASE,,,10074769,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$14,492.16",B,2,In stock,,,$145.00,$816.00,$783.36,$177.63,"$3,330.47",4.41,,,,,,,,
1039,75045880362,,"DRIVER CONTROL CABLE 716D 7mx1/4""x4""","CABLE DE CONTROL DE MANDO 716D 7mx1/4""x4""",,CABLE DE ACELERACIÓN 7M 6MM/6MM PARA CAMION REVOLVEDOR,760.7000.6.100,,Olla Revolvedora,Transmisión mecánica,CABLES,$888.00,,5,In stock,,,$9.00,$50.00,$48.00,$11.03,$206.72,4.35,,,,,,,,
2312,75045880574,,"SCHWING CLAMP 5"" 2 BOLTS NO BASE","ABRAZADERA 5"" DOBLE TORNILLO SIN BASE",,"ABRAZADERA DE 5"" METRICA DOBLE TORNILLO PARA BOMBA DE HORMIGON",10006587,,Tuberia,TUBERIA ACERO,TUBOS,$976.80,,6,In stock,,,$10.00,$55.00,$52.80,$12.25,$229.69,4.31,,,,,,,,
1692,75045880461,,REMOTE CONTROL F24-60 24V,CONTROL REMOTO F24-60 24V,,,A053272,,Otro,Componentes eléctricos,ACCESORIOS ,"$23,088.00",,3,In stock,,,$240.00,"$1,300.00","$1,248.00",$294.00,"$5,512.50",4.24,,,,,,,,
1920,75045880310,,PRESSURE GAUGE 0-400BAR,MANOMETRO 0-400BAR,,MANOMETRO 0-400 BAR PARA BOMBA DE HORMIGON,17250005,,Putzmeister,HIDRAULICO,MEDIDORES,"$1,154.40",,10,In stock,,,$12.00,$65.00,$62.40,$14.70,$275.63,4.24,,,,,,,,
1730,75045880452,,ACCUMULATOR BLADDER 4L,VEJIGA ACUMULADORA 4L (BLADDER),,,0640200000,V4,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$2,113.44",B,3,In stock,,,$22.00,$119.00,$114.24,$26.95,$505.31,4.24,,,,,,,,
2197,75045892197,,AGITATOR MOTOR 470,MOTOR HIDRAULICO AGITADOR 470,,,10039180,,Schwing,BARRA V-ROCK,Sin Asignar,"$8,453.76",A,3,In stock,,,$88.00,$476.00,$456.96,$107.80,"$2,021.25",4.24,,,,,,,,
1808,75045880377,,OUTPUT SEALING COLLAR ZF 418 SMALL 120x165,RETEN ZF 418 CHICO 120x165,,RETEN ZF 418 CHICO PARA CAMION REVOLVEDOR,0734307418,,Olla Revolvedora,REDUCTOR,EMPAQUES,$568.32,,5,In stock,,,$6.00,$32.00,$30.72,$7.35,$137.81,4.18,,,,,,,,
1819,75045880381,,OUTPUT SEALING COLLAR ZF251 SMALL 125x180,RETEN ZF251 CHICO 125x180x12/15,,RETEN ZF 251 CHICO PARA CAMION REVOLVEDOR,0750112251,251,Olla Revolvedora,REDUCTOR,EMPAQUES,$568.32,B,5,In stock,,,$6.00,$32.00,$30.72,$7.35,$137.81,4.18,,,,,,,,
2055,75045880386,,BUJE 2.367in x 1.957in BRONZE,BUJE CON TOPE 2.367in x 1.3957in BRONCE,,,10061082,,Schwing,AGITADOR V-ROCK,ACCESORIOS ,$745.92,A,5,In stock,,,$8.00,$42.00,$40.32,$9.80,$183.75,4.11,,,,,,,,
2314,75045880356,,"SCHWING CUP TENSION CLAMP WEDGE MET. DN150 6""","ABRAZADERA CON CUÑA MET. DN150 6""",,"ABRAZADERA METRICA DN150 6"" PARA BOMBA DE HORMIGON",10043559,,Tuberia,TUBERIA ACERO,TUBOS,"$1,864.80",,6,In stock,,,$20.00,$105.00,$100.80,$24.50,$459.38,4.11,,,,,,,,
2085,75045880391,,COUPLING 31.5x50x50 PUMP A7VO80 ,COPLE PARA BOMBA HIDRAULICA A7VO80 31.5x50x50,,COPLE PARA BOMBA HIDRÁULICA A7VO80 PARA BOMBA DE HORMIGON,10035156,,Schwing,HIDRAULICO,ACCESORIOS ,"$1,669.44",,5,In stock,,,$18.00,$94.00,$90.24,$22.05,$413.44,4.09,,,,,,,,
2180,75045880480,,GEARSHIFT FORK W/SHIFTING ROD,HORQUILLA CON BARRA PARA CAJA DE TRANSFERENCIA,,HORQUILLA CON BARRA PARA CAJA DE TRANSFERENCIA PARA BOMBA HORMIGON,10012464,,Schwing,,ACCESORIOS ,"$3,694.08",,3,In stock,,,$40.00,$208.00,$199.68,$49.00,$918.75,4.08,,,,,,,,
1732,75045880453,,ACCUMULATOR BLADDER 6L,VEJIGA ACUMULADORA 6L (BLADDER),,,283868001,V6,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$2,291.04",B,3,In stock,,,$25.00,$129.00,$123.84,$30.63,$574.22,4.04,,,,,,,,
1825,75045880549,,NITROGEN ACCUMULATOR 4L (1 GALLON),ACUMULADOR DE NITROGENO 4L,,,AT311944,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$16,676.64",,1,In stock,,,$182.00,$939.00,$901.44,$222.95,"$4,180.31",4.04,,,,,,,,
2040,75045880384,,BAR SHAFT/ FLANGE HUB/ AGITATOR LEFT HANF,BARRA PUNTA LADO MOTOR,,,10061075,,Schwing,AGITADOR V-ROCK,Sin Asignar,"$1,456.32",A,5,In stock,,,$16.00,$82.00,$78.72,$19.60,$367.50,4.02,,,,,,,,
2308,75045880319,,CLAMP SNAP DN125 SK148 WITH BASE,"ABRAZADERA 5"" MET. COLA DE RATA CON BASE",,"ABRAZADERA DE 5"" METRICA COLA DE RATA CON BASE PARA BOMBA DE HORMIGON",534296,,Tuberia,TUBERIA ACERO,TUBOS,"$1,225.44",,10,In stock,,,$13.50,$69.00,$66.24,$16.54,$310.08,4.01,,,,,,,,
1854,75045880531,,HOPPER COVER SLIDE,COMPUERTA DE LA TOLVA,,COMPUERTA DE LA TOLVA PARA BOMBA DE HORMIGON,242334000,,Putzmeister,BARRA V-ROCK,ACCESORIOS ,"$4,475.52",,3,In stock,,,$50.00,$252.00,$241.92,$61.25,"$1,148.44",3.95,,,,,,,,
2183,75045880479,,HOUSING LINING DN180 OUTLET SIDE,ESPEJO DN180,,ESPEJO DN180 PARA BOMBA DE HORMIGON,10018046,,Schwing,Componentes Estructurales y de Montaje,Sin Asignar,"$10,283.04",B,3,In stock,,,$115.00,$579.00,$555.84,$140.88,"$2,641.41",3.95,,,,,,,,
2001,75045880472,,FLOW CONTROL VALVE 350BAR,VALVULA DE CARTUCHO 350BAR,,,286970006,,Putzmeister,HIDRAULICO,VALVULAS,"$3,214.56",,3,In stock,,,$36.00,$181.00,$173.76,$44.10,$826.88,3.94,,,,,,,,
1361,75045880491,,"VIBRATOR 1-PHASE 220V, 1PH, 3000RPM MVE100/3M FC:98KG","VIBRADOR ELECTRICO 220V, 1PH, 3000RPM MVE100/3M FC:98KG",,,MVE 100/3M ,,WAM,SIN ASIGNAR,VIBRADORES,"$3,996.00",,2,In stock,,,$45.00,$225.00,$216.00,$55.13,"$1,033.59",3.92,,,,,,,,
1842,75045880330,,BUSHING 60MM MIXER SHAFT,BUJE DU60 60MM,,BUJE DU60 60MM PARA BOMBA DE HORMIGON,222484006,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$177.60,A,8,In stock,,,$2.00,$10.00,$9.60,$2.45,$45.94,3.92,,,,,,,,
1435,75045880454,,"FLEXIBLE HOSE 4 LAYER MET. DN125 SK148 5""X4m DOUBLE END","MANGUERA FLEXIBLE 4 CAPAS MET. DN125 SK148 5""X4m BOQUILLA DOBLE","MANGUERA 4 CAPAS 5""x4m MET. BOQUILLA DOBLE",MANGUERA FLEXIBLE 4M PARA BOMBA DE HORMIGON,BMFH40002F,,Tuberia,TUBERIA FLEXIBLE,TUBOS,"$9,999.95",,3,In stock,,,$143.00,$563.06,$540.54,$175.18,"$3,284.53",3.09,,,,,,,,
2056,75045880387,,SUPPORT BUSHING,BUJE CON TOPE PARA BARRA V-ROCK,,BUJE CON TOPE PARA BARRA DE V-ROCK PARA BOMBA DE HORMIGON,10018047,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$2,592.96",A,5,In stock,,,$30.00,$146.00,$140.16,$36.75,$689.06,3.81,,,,,,,,
1824,75045880458,,"CLAMP COUPLING 6"" DN150","ABRAZADERA 6"" CON CUÑA DN150",,"ABRAZADERA 6"" CON CUÑA DN150 PARA BOMBA DE HORMIGON",240948003,,Putzmeister,BARRA V-ROCK,TUBOS,"$2,930.40",,3,In stock,,,$34.00,$165.00,$158.40,$41.65,$780.94,3.80,,,,,,,,
1826,75045880550,,NITROGEN ACCUMULATOR 6L (1.5 GALLON),ACUMULADOR DE NITROGENO 6L,,,A025007,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$19,145.28",,1,In stock,,,$225.00,"$1,078.00","$1,034.88",$275.63,"$5,167.97",3.75,,,,,,,,
2402,75045880483,,PLUNGER CYLINDER SEAL KITS 60MM,KIT SELLOS PARA CILINDRO DE CAMBIO 60MM,,KIT DE SELLOS PARA CILINDRO DE CAMBIO - 60 MM PARA BOMBA DE HORMIGON,262840008/1,J01806000,Putzmeister,BARRA V-ROCK,EMPAQUES,"$1,012.32",,3,In stock,,,$12.00,$57.00,$54.72,$14.70,$275.63,3.72,,,,,,,,
1862,75045880462,,WEDGE,CUÑA PARA CODO DE BISAGRA,,CUÑA PARA CODO DE BISAGRA PARA BOMBA DE HORMIGON,426793,,Putzmeister,BARRA V-ROCK,ACCESORIOS ,$674.88,,3,In stock,,,$8.00,$38.00,$36.48,$9.80,$183.75,3.72,,,,,,,,
1827,75045880540,,WEAR RING DN200 CARBIDE,ANILLO DE DESGASTE DN200 CARBIDE,,ANILLO DE DESGASTE DN200 PARA BOMBA DE HORMIGON,261123001,,Putzmeister,BARRA V-ROCK,ANILLOS METALICOS,"$4,617.60",A,2,In stock,,,$55.00,$260.00,$249.60,$67.38,"$1,263.28",3.70,,,,,,,,
1828,75045880541,,WEAR RING DN200 CASTING,ANILLO DE DESGASTE DN200 CASTING,,ANILLO DE DESGASTE DN200 PARA BOMBA DE HORMIGON,261123001,,Putzmeister,BARRA V-ROCK,ANILLOS METALICOS,"$3,356.64",,2,In stock,,,$40.00,$189.00,$181.44,$49.00,$918.75,3.70,,,,,,,,
2058,75045880389,,BEARING BUSHING D95/108X70,BUJE GEMELO V-ROCK,,,10018037,,Schwing,BARRA V-ROCK,SIN ASIGNAR,"$1,172.16",A,5,In stock,,,$14.00,$66.00,$63.36,$17.15,$321.56,3.69,,,,,,,,
1802,75045880508,,REDUCER GEARBOX ZF P7300,REDUCTOR ZF P7300,,REDUCTOR ZF-7300 PARA CAMION REVOLVEDOR,P7300,,Olla Revolvedora,REDUCTOR,TRANSMISIONES,"$41,647.20",,2,In stock,,,$500.00,"$2,345.00","$2,251.20",$612.50,"$11,484.38",3.68,,,,,,,,
1947,75045880434,,STEP RELAY 12V 2 WECHS K238,RELEVADOR 12V K238,,,247108008,,Putzmeister,SIN ASIGNAR,RELAYS,"$1,420.80",,4,In stock,,,$17.50,$80.00,$76.80,$21.44,$401.95,3.58,,,,,,,,
1364,75045880488,,"VIBRATOR 1-PHASE 220V, 1PH, 3000RPM MVE100/3M FC:98KG HIGH QUALITY","VIBRADOR ELECTRICO 220V, 1PH, 3000RPM MVE100/3M FC:98KG HIGH QUALITY",,,MVE 100/3M HQ,,WAM,SIN ASIGNAR,VIBRADORES,"$4,457.76",,2,In stock,,,$55.00,$251.00,$240.96,$67.38,"$1,263.28",3.58,,,,,,,,
1363,75045880492,,"VIBRATOR 1-PHASE 220V, 1PH, 3000RPM MVE200/3M FC:187KG","VIBRADOR ELECTRICO 220V, 1PH, 3000RPM MVE200/3M FC:187KG",,,MVE 200/3M ,,WAM,SIN ASIGNAR,VIBRADORES,"$4,440.00",,2,In stock,,,$55.00,$250.00,$240.00,$67.38,"$1,263.28",3.56,,,,,,,,
2083,75045880274,,SEAL-CONE 60MM,CONO HERMETICO 60MM ,,,10061076,,Schwing,AGITADOR V-ROCK,EMPAQUES,$159.84,A,16,In stock,,,$2.00,$9.00,$8.64,$2.45,$45.94,3.53,,,,,,,,
2311,75045880335,,"SCHWING CLAMP SCREW STYLE 5"" 2 BOLT WITH BASE MET. SK148","ABRAZADERA 5"" MET. SK148 DOBLE TORNILLO CON BASE",,"ABRAZADERA DE 5"" METRICA DOBLE TORNILLO CON BASE PARA BOMBA DE HORMIGON",10133242,,Tuberia,TUBERIA ACERO,TUBOS,"$1,065.60",,8,In stock,,,$13.50,$60.00,$57.60,$16.54,$310.08,3.48,,,,,,,,
1982,75045880345,,TEMPERATURE TRANSMITTER 55 DEGREE,SENSOR DE TEMPERATURA 55 GRADOS,,,67860005,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,"$1,172.16",,6,In stock,,,$15.00,$66.00,$63.36,$18.38,$344.53,3.45,,,,,,,,
2276,75045880403,,ROD BUSHING / BEARING HOPPER,TAPA DE AGITADOR / BASE LADO MOTOR,,,10061074,,Schwing,SIN ASIGNAR,SIN ASIGNAR,"$1,562.88",A,5,In stock,,,$20.00,$88.00,$84.48,$24.50,$459.38,3.45,,,,,,,,
2306,75045880318,,"CLAMP 5"" MET. DN125 SK148 ADJUSTABLE","ABRAZADERA 5"" MET. AJUSTABLE DN125 SK148",,"ABRAZADERA DE 5"" METRICA AJUSTABLE PARA BOMBA DE HORMIGON",CL50MADJ,,Tuberia,TUBERIA ACERO,TUBOS,"$1,083.36",,10,In stock,,,$14.00,$61.00,$58.56,$17.15,$321.56,3.41,,,,,,,,
1919,75045880309,,PRESSURE GAUGE 0-250BAR,MANOMETRO 0-250BAR,,MANOMETRO 0-250 BAR PARA BOMBA DE HORMIGON,16373006,,Putzmeister,HIDRAULICO,MEDIDORES,$923.52,,10,In stock,,,$12.00,$52.00,$49.92,$14.70,$275.63,3.40,,,,,,,,
2057,75045880388,,BUSHING D60 60/68X23,BUJE D60 60/68X23,,,10061077,,Schwing,AGITADOR V-ROCK,Sin Asignar,$230.88,A,5,In stock,,,$3.00,$13.00,$12.48,$3.68,$68.91,3.40,,,,,,,,
1429,75045880248,,"SEAL COUPLING DN125 5-1/2"" MET. WITH LIP","EMPAQUE DN125 5-1/2"" MET. CON CEJA ","EMPAQUE 5"" MET. CON CEJA",EMPAQUETADURA DE GOMA DN125 CON LABIO MEDIO PARA BOMBA DE HORMIGON,81669004,,Tuberia,TUBERIA,EMPAQUES,$53.28,A,250,In stock,,,$0.70,$3.00,$2.88,$0.86,$16.08,3.36,,,,,,,,
1430,75045880247,,"SEAL COUPLING DN125 5-1/2"" MET. NO LIP","EMPAQUE DN125 5-1/2"" MET. SIN CEJA","EMPAQUE 5"" MET. SIN CEJA",EMPAQUETADURA DE GOMA DN125 PARA BOMBA DE HORMIGON,10002526,,Tuberia,TUBERIA,EMPAQUES,$53.28,A,250,In stock,,,$0.70,$3.00,$2.88,$0.86,$16.08,3.36,,,,,,,,
1359,75045880486,,"VIBRADOR 1-PHASE 220V, 1PH, 3000RPM MVE300/3M FC:321KG","VIBRADOR ELECTRICO 220V, 1PH, 3000RPM MVE300/3M FC:321KG",,,MVE 300/3M,,WAM,SIN ASIGNAR,VIBRADORES,"$4,884.00",,2,In stock,,,$65.00,$275.00,$264.00,$79.63,"$1,492.97",3.32,,,,,,,,
2307,75045880251,,CUP TYPE CLAMP DN125 SK148,"ABRAZADERA 5"" MET. SK148 COLA DE RATA",,"ABRAZADERA DE 5"" METRICA COLA DE RATA PARA BOMBA DE HORMIGON",10007018,,Tuberia,TUBERIA ACERO,TUBOS,$750.00,B,70,In stock,,,$10.00,$42.23,$40.54,$12.25,$229.69,3.31,,,,,,,,
2077,75045880460,,PUMP TRAP DOOR GATE DISCHARGE / CLOUSURE DN 250,COMPUERTA PARA TOLVA,,COMPUERTA DE LA TOLVA PARA BOMBA DE HORMIGON,10080782,,Schwing,BARRA V-ROCK,ACCESORIOS ,"$3,516.48",,2,In stock,,,$47.00,$198.00,$190.08,$57.58,"$1,079.53",3.30,,,,,,,,
1992,75045880347,,"OUTRIGGER PLATE 24x24x2"" PLASTIC","SOPORTE PARA ESTABILIZADOR 24x24x2"" PLASTICO",,,296705009,,Otro,SIN ASIGNAR,SIN ASIGNAR,"$2,468.64",,6,In stock,,,$33.00,$139.00,$133.44,$40.43,$757.97,3.30,,,,,,,,
2587,75045892587,,RUBBER PISTON DN200,REPUESTO EMBOLO SECCIONADO DN200,,,60054347,,SANY,SISTEMA DE BOMBEO,PISTONES,"$3,889.44",,4,In stock,,,$52.00,$219.00,$210.24,$63.70,"$1,194.38",3.30,,,,,,,,
2094,75045880532,,PUMP WEDGE,CUÑA PARA PERNO,,CUÑA PARA PERNO PARA BOMBA DE HORMIGON,10004709,,Schwing,TOLVA,ACCESORIOS ,$515.04,B,2,In stock,,,$7.00,$29.00,$27.84,$8.58,$160.78,3.25,,,,,,,,
2041,75045880435,,BAR ROUND 4.528in FLANGE RIGHT,BARRA PUNTA LADO FIJO,,BARRA LADO MOTOR PARA BOMBA DE HORMIGON,10061080,,Schwing,AGITADOR V-ROCK,ACCESORIOS ,"$1,243.20",A,5,In stock,,,$17.00,$70.00,$67.20,$20.83,$390.47,3.23,,,,,,,,
2454,75045892454,,CUTTING RING DN250 (DN230) CARBIDE,ANILLO DE CORTE DN250 (DN230) CARBIDE,,,10166890CARB,,Schwing,BARRA V-ROCK,ANILLOS METALICOS,"$4,972.80",,2,In stock,,,$68.00,$280.00,$268.80,$83.30,"$1,561.88",3.23,,,,,,,,
2455,75045892455,,CUTTING RING DN250 (DN230) CASTING,ANILLO DE CORTE DN250 (DN230) CASTING,,,10166890CAST,,Schwing,BARRA V-ROCK,ANILLOS METALICOS,"$3,285.60",,2,In stock,,,$45.00,$185.00,$177.60,$55.13,"$1,033.59",3.22,,,,,,,,
2316,75045880449,,"CLAMP CUP WEDGE MET. DN180 7""","ABRAZADERA CON CUNA MET. DN180 7""",,"ABRAZADERA METRICA DDN 180 7"" PARA BOMBA DE HORMIGON",10043560,,Tuberia,TUBERIA ACERO,TUBOS,"$2,379.84",,4,In stock,,,$33.00,$134.00,$128.64,$40.43,$757.97,3.18,,,,,,,,
2457,75045880466,,HYDRAULIC MOTOR BRH B470,MOTOR AGITADOR B470,,,484279,,Putzmeister,,MOTORES,"$10,034.40",,3,In stock,,,$140.00,$565.00,$542.40,$171.50,"$3,215.63",3.16,,,,,,,,
1209,75045891209,,MAIN CYLINDER SEAL 80/100X40,EMPAQUETADURA PARA VASTAGO DE BOMBA 80/100x40      ,,,10003421,24160007,Schwing,BARRA V-ROCK,EMPAQUES,$710.40,A,6,In stock,,,$10.00,$40.00,$38.40,$12.25,$229.69,3.13,,,,,,,,
2082,75045880273,,SEAL-CONE 50MM,CONO HERMETICO 50MM,,,10061050,,Schwing,AGITADOR V-ROCK,EMPAQUES,$142.08,,16,In stock,,,$2.00,$8.00,$7.68,$2.45,$45.94,3.13,,,,,,,,
2146,75045880442,,PISTON RAM DN200 NO BASE,EMBOLO DN200 SIN BASE,,ÉMBOLO DN200 SIN BASE PARA BOMBA DE HORMIGON,10007908,,Schwing,SISTEMA DE BOMBEO,PISTONES,"$3,907.20",,4,In stock,,,$55.00,$220.00,$211.20,$67.38,"$1,263.28",3.13,,,,,,,,
2318,75045881172,,"CLEANING BALL 5"" SOFT DN125","PELOTA LIMPIEZA 5"" BLANDA DN125",,BOLA DE LIMPIEZA DE BOMBA DE HORMIGON,CB501,PELIM5,Tuberia,TUBERIA ACERO,LIMPIEZA,$106.56,A,150,In stock,,,$1.50,$6.00,$5.76,$1.84,$34.45,3.13,,,,,,,,
1896,75045880520,,OUTER HOUSING,GUIA DE DESCARGA ,,,240391003,,Putzmeister,BARRA V-ROCK,SIN ASIGNAR,"$4,582.08",A,2,In stock,,,$65.00,$258.00,$247.68,$79.63,"$1,492.97",3.11,,,,,,,,
2330,75045880288,,NOZZLE,AIREADOR TIPO BOQUILLA,,,BVS1N,BVSUS1N,WAM,SIN ASIGNAR,SIN ASIGNAR,$692.64,,10,In stock,,,$10.00,$39.00,$37.44,$12.25,$229.69,3.06,,,,,,,,
2184,75045880313,,KIDNEY SEAL DN135,EMPAQUE HULE RIÑON DN135 ,,,10032182,,Schwing,BARRA V-ROCK,Sin Asignar,$745.92,,10,In stock,,,$11.00,$42.00,$40.32,$13.48,$252.66,2.99,,,,,,,,
1763,75045880369,,"FLEXIBLE HOSE 4 LAYER MET. DN125 SK148 5""X3m SINGLE END","MANGUERA FLEXIBLE 4 CAPAS MET. DN125 SK148 5""X3m BOQUILLA SENCILLA","MANGUERA 4 CAPAS 5""x3m MET. BOQUILLA SENCILLA",MANGUERA FLEXIBLE 3M PARA BOMBA DE HORMIGON,BMFH30001F,,Tuberia,TUBERIA FLEXIBLE,TUBOS,"$7,104.00",,5,In stock,,,$106.00,$400.00,$384.00,$129.85,"$2,434.69",2.96,,,,,,,,
2447,75045892447,,HYDRAULIC VALVE HER 350BAR,VALVULA HER 350BAR PARA EMBRAGUE ENQUINTAR ,,,10007779,,Schwing,BARRA V-ROCK,VALVULAS,"$6,482.40",,3,In stock,,,$140.00,$365.00,$350.40,$171.50,"$3,215.63",2.04,,,,,,,,
1810,75045880283,,"COMPLETE DRUM ROLLER ASSEMBLY LONDON 4-3/4""","RODILLO LONDON COMPLETO 4-3/4""",,"RODILLO LONDÓN COMPLETO 4-3/4"" PARA CAMION REVOLVEDOR",MD-32123,,Olla Revolvedora,Componentes estructurales y de montaje,RODILLOS,"$5,434.56",,10,In stock,,,$82.00,$306.00,$293.76,$100.45,"$1,883.44",2.92,,,,,,,,
1368,75045880421,,ROTARY BALL VIBRATORS S13 DE15000 VIB/MIN - PNEUMATIC VIBRATOR S13 DE15000 VIB/MIN,VIBRADOR NEUMATICO - S13 DE 15000 VIB/MIN,,,S13,,WAM,SIN ASIGNAR,VIBRADORES,"$1,651.68",,4,In stock,,,$25.00,$93.00,$89.28,$30.63,$574.22,2.92,,,,,,,,
1369,75045880420,,ROTARY BALL VIBRATORS S16 DE13000 VIB/MIN - PNEUMATIC VIBRATOR S16 DE13000 VIB/MIN,VIBRADOR NEUMATICO - S16 DE13000 VIB/MIN,,,S16,,WAM,SIN ASIGNAR,VIBRADORES,"$1,651.68",,4,In stock,,,$25.00,$93.00,$89.28,$30.63,$574.22,2.92,,,,,,,,
1365,75045880490,,"VIBRATOR 1-PHASE 220V, 1PH, 3000RPM MVE200/3M FC:187KG HIGH QUALITY","VIBRADOR ELECTRICO 220V, 1PH, 3000RPM MVE200/3M FC:187KG HIGH QUALITY",,,MVE 200/3M HQ,,WAM,SIN ASIGNAR,VIBRADORES,"$4,955.04",,2,In stock,,,$75.00,$279.00,$267.84,$91.88,"$1,722.66",2.92,,,,,,,,
